frame,cam1_timestamp_us,cam2_timestamp_us,drift_us,drift_ms
1568,1768253695791000,1768253695791000,0,0.0
1589,1768253696141000,1768253696141000,0,0.0
1612,1768253696525000,1768253696525000,0,0.0
1635,1768253696908000,1768253696908000,0,0.0
1658,1768253697293000,1768253697293000,0,0.0
1685,1768253697744000,1768253697744000,0,0.0
1698,1768253697952000,1768253697952000,0,0.0
1712,1768253698195000,1768253698195000,0,0.0
1729,1768253698476000,1768253698476000,0,0.0
1742,1768253698694000,1768253698694000,0,0.0
1764,1768253699060000,1768253699060000,0,0.0
1767,1768253699097000,1768253699097000,0,0.0
1789,1768253699477000,1768253699477000,0,0.0
1804,1768253699727000,1768253699727000,0,0.0
1821,1768253700006000,1768253700006000,0,0.0
1834,1768253700224000,1768253700224000,0,0.0
1849,1768253700475000,1768253700475000,0,0.0
1852,1768253700511000,1768253700511000,0,0.0
1864,1768253700725000,1768253700725000,0,0.0
1865,1768253700725000,1768253700725000,0,0.0
1873,1768253700867000,1768253700867000,0,0.0
1885,1768253701077000,1768253701077000,0,0.0
1897,1768253701291000,1768253701256000,-35000,-35.0
1898,1768253701291000,1768253701291000,0,0.0
1901,1768253701329000,1768253701329000,0,0.0
1923,1768253701710000,1768253701710000,0,0.0
1936,1768253701927000,1768253701927000,0,0.0
1943,1768253702036000,1768253702036000,0,0.0
1944,1768253702073000,1768253702036000,-37000,-37.0
1949,1768253702143000,1768253702143000,0,0.0
1964,1768253702393000,1768253702393000,0,0.0
1967,1768253702429000,1768253702429000,0,0.0
1971,1768253702500000,1768253702500000,0,0.0
1973,1768253702535000,1768253702535000,0,0.0
1975,1768253702571000,1768253702571000,0,0.0
1977,1768253702608000,1768253702608000,0,0.0
1980,1768253702646000,1768253702646000,0,0.0
1981,1768253702679000,1768253702646000,-33000,-33.0
1982,1768253702679000,1768253702679000,0,0.0
1984,1768253702714000,1768253702714000,0,0.0
1994,1768253702885000,1768253702885000,0,0.0
1995,1768253702919000,1768253702885000,-34000,-34.0
1996,1768253702919000,1768253702919000,0,0.0
1997,1768253702952000,1768253702919000,-33000,-33.0
2002,1768253703019000,1768253703019000,0,0.0
2004,1768253703057000,1768253703057000,0,0.0
2010,1768253703160000,1768253703160000,0,0.0
2012,1768253703193000,1768253703193000,0,0.0
2013,1768253703226000,1768253703193000,-33000,-33.0
2014,1768253703226000,1768253703226000,0,0.0
2015,1768253703226000,1768253703226000,0,0.0
2016,1768253703262000,1768253703226000,-36000,-36.0
2024,1768253703405000,1768253703370000,-35000,-35.0
2027,1768253703440000,1768253703440000,0,0.0
2029,1768253703477000,1768253703477000,0,0.0
2030,1768253703477000,1768253703477000,0,0.0
2031,1768253703512000,1768253703477000,-35000,-35.0
2032,1768253703512000,1768253703512000,0,0.0
2034,1768253703549000,1768253703549000,0,0.0
2036,1768253703583000,1768253703583000,0,0.0
2037,1768253703616000,1768253703583000,-33000,-33.0
2042,1768253703684000,1768253703684000,0,0.0
2046,1768253703756000,1768253703756000,0,0.0
2052,1768253703860000,1768253703860000,0,0.0
2053,1768253703860000,1768253703860000,0,0.0
2057,1768253703932000,1768253703932000,0,0.0
2058,1768253703970000,1768253703932000,-38000,-38.0
2061,1768253704004000,1768253704004000,0,0.0
2062,1768253704038000,1768253704004000,-34000,-34.0
2065,1768253704073000,1768253704073000,0,0.0
2068,1768253704112000,1768253704112000,0,0.0
2069,1768253704146000,1768253704112000,-34000,-34.0
2074,1768253704217000,1768253704217000,0,0.0
2078,1768253704283000,1768253704283000,0,0.0
2080,1768253704317000,1768253704317000,0,0.0
2082,1768253704350000,1768253704350000,0,0.0
2084,1768253704385000,1768253704385000,0,0.0
2086,1768253704419000,1768253704419000,0,0.0
2090,1768253704490000,1768253704490000,0,0.0
2095,1768253704562000,1768253704562000,0,0.0
2096,1768253704599000,1768253704562000,-37000,-37.0
2101,1768253704672000,1768253704672000,0,0.0
2102,1768253704709000,1768253704672000,-37000,-37.0
2103,1768253704709000,1768253704709000,0,0.0
2104,1768253704709000,1768253704709000,0,0.0
2105,1768253704747000,1768253704709000,-38000,-38.0
2106,1768253704747000,1768253704747000,0,0.0
2108,1768253704783000,1768253704783000,0,0.0
2109,1768253704821000,1768253704783000,-38000,-38.0
2110,1768253704821000,1768253704821000,0,0.0
2116,1768253704924000,1768253704924000,0,0.0
2117,1768253704924000,1768253704924000,0,0.0
2119,1768253704962000,1768253704962000,0,0.0
2123,1768253705034000,1768253705034000,0,0.0
2124,1768253705069000,1768253705034000,-35000,-35.0
2127,1768253705102000,1768253705102000,0,0.0
2129,1768253705135000,1768253705135000,0,0.0
2131,1768253705173000,1768253705173000,0,0.0
2132,1768253705210000,1768253705173000,-37000,-37.0
2133,1768253705210000,1768253705210000,0,0.0
2134,1768253705210000,1768253705210000,0,0.0
2136,1768253705248000,1768253705248000,0,0.0
2138,1768253705280000,1768253705280000,0,0.0
2139,1768253705315000,1768253705280000,-35000,-35.0
2140,1768253705315000,1768253705315000,0,0.0
2141,1768253705349000,1768253705315000,-34000,-34.0
2144,1768253705386000,1768253705386000,0,0.0
2146,1768253705421000,1768253705421000,0,0.0
2147,1768253705459000,1768253705421000,-38000,-38.0
2148,1768253705459000,1768253705459000,0,0.0
2149,1768253705459000,1768253705459000,0,0.0
2150,1768253705495000,1768253705459000,-36000,-36.0
2151,1768253705495000,1768253705495000,0,0.0
2153,1768253705533000,1768253705533000,0,0.0
2155,1768253705566000,1768253705566000,0,0.0
2159,1768253705639000,1768253705639000,0,0.0
2160,1768253705675000,1768253705639000,-36000,-36.0
2163,1768253705710000,1768253705710000,0,0.0
2170,1768253705818000,1768253705818000,0,0.0
2174,1768253705890000,1768253705890000,0,0.0
