frame,cam1_timestamp_us,cam2_timestamp_us,drift_us,drift_ms
400,1768257807421000,1768257807421000,0,0.0
601,1768257810773000,1768257810773000,0,0.0
1001,1768257817436000,1768257817436000,0,0.0
1202,1768257820790000,1768257820790000,0,0.0
1402,1768257824115000,1768257824115000,0,0.0
2003,1768257834131000,1768257834131000,0,0.0
2204,1768257837470000,1768257837470000,0,0.0
2605,1768257844147000,1768257844147000,0,0.0
2805,1768257847486000,1768257847486000,0,0.0
3005,1768257850820000,1768257850820000,0,0.0
3206,1768257854172000,1768257854172000,0,0.0
3406,1768257857506000,1768257857506000,0,0.0
3607,1768257860849000,1768257860849000,0,0.0
3807,1768257864189000,1768257864189000,0,0.0
4007,1768257867516000,1768257867516000,0,0.0
4208,1768257870865000,1768257870865000,0,0.0
5009,1768257884214000,1768257884214000,0,0.0
5410,1768257890897000,1768257890897000,0,0.0
5611,1768257894230000,1768257894230000,0,0.0
5811,1768257897567000,1768257897567000,0,0.0
6011,1768257900900000,1768257900900000,0,0.0
6212,1768257904256000,1768257904256000,0,0.0
6412,1768257907583000,1768257907583000,0,0.0
6613,1768257910931000,1768257910931000,0,0.0
6813,1768257914273000,1768257914273000,0,0.0
7013,1768257917612000,1768257917612000,0,0.0
7214,1768257920959000,1768257920959000,0,0.0
7414,1768257924283000,1768257924283000,0,0.0
9017,1768257950997000,1768257950997000,0,0.0
9218,1768257954329000,1768257954329000,0,0.0
9418,1768257957673000,1768257957673000,0,0.0
9619,1768257961026000,1768257961026000,0,0.0
9819,1768257964345000,1768257964345000,0,0.0
10019,1768257967681000,1768257967681000,0,0.0
10220,1768257971028000,1768257971028000,0,0.0
10420,1768257974363000,1768257974363000,0,0.0
10621,1768257977721000,1768257977721000,0,0.0
10821,1768257981047000,1768257981047000,0,0.0
12424,1768258007763000,1768258007763000,0,0.0
12625,1768258011098000,1768258011098000,0,0.0
12825,1768258014441000,1768258014441000,0,0.0
13025,1768258017778000,1768258017778000,0,0.0
13226,1768258021124000,1768258021124000,0,0.0
13426,1768258024453000,1768258024453000,0,0.0
13627,1768258027798000,1768258027798000,0,0.0
13827,1768258031142000,1768258031142000,0,0.0
14829,1768258047816000,1768258047816000,0,0.0
15631,1768258061191000,1768258061191000,0,0.0
15831,1768258064515000,1768258064515000,0,0.0
16031,1768258067854000,1768258067854000,0,0.0
16232,1768258071200000,1768258071200000,0,0.0
16432,1768258074529000,1768258074529000,0,0.0
16633,1768258077880000,1768258077880000,0,0.0
16833,1768258081227000,1768258081227000,0,0.0
17033,1768258084561000,1768258084561000,0,0.0
17234,1768258087905000,1768258087905000,0,0.0
17835,1768258097914000,1768258097914000,0,0.0
18837,1768258114609000,1768258114609000,0,0.0
19037,1768258117945000,1768258117945000,0,0.0
19238,1768258121280000,1768258121280000,0,0.0
19438,1768258124622000,1768258124622000,0,0.0
19639,1768258127977000,1768258127977000,0,0.0
19839,1768258131309000,1768258131309000,0,0.0
20039,1768258134647000,1768258134647000,0,0.0
20240,1768258137985000,1768258137985000,0,0.0
20440,1768258141321000,1768258141321000,0,0.0
20641,1768258144660000,1768258144660000,0,0.0
21442,1768258158010000,1768258158010000,0,0.0
21843,1768258164679000,1768258164679000,0,0.0
22043,1768258168023000,1768258168023000,0,0.0
22244,1768258171372000,1768258171372000,0,0.0
22444,1768258174697000,1768258174697000,0,0.0
22645,1768258178053000,1768258178053000,0,0.0
22845,1768258181391000,1768258181391000,0,0.0
23045,1768258184727000,1768258184727000,0,0.0
23246,1768258188072000,1768258188072000,0,0.0
23446,1768258191402000,1768258191402000,0,0.0
23647,1768258194764000,1768258194764000,0,0.0
23847,1768258198089000,1768258198089000,0,0.0
25450,1768258224785000,1768258224785000,0,0.0
25651,1768258228141000,1768258228141000,0,0.0
25851,1768258231478000,1768258231478000,0,0.0
26051,1768258234779000,1768258234779000,0,0.0
26252,1768258238154000,1768258238154000,0,0.0
26452,1768258241492000,1768258241492000,0,0.0
26653,1768258244838000,1768258244838000,0,0.0
26853,1768258248167000,1768258248167000,0,0.0
27053,1768258251485000,1768258251485000,0,0.0
27454,1768258258180000,1768258258180000,0,0.0
27655,1768258261532000,1768258261532000,0,0.0
27855,1768258264860000,1768258264860000,0,0.0
28657,1768258278228000,1768258278228000,0,0.0
28857,1768258281552000,1768258281552000,0,0.0
29057,1768258284877000,1768258284877000,0,0.0
29258,1768258288233000,1768258288233000,0,0.0
29458,1768258291579000,1768258291579000,0,0.0
29659,1768258294925000,1768258294925000,0,0.0
29859,1768258298259000,1768258298259000,0,0.0
30059,1768258301592000,1768258301592000,0,0.0
30260,1768258304944000,1768258304944000,0,0.0
30460,1768258308275000,1768258308275000,0,0.0
30861,1768258314951000,1768258314951000,0,0.0
31663,1768258328308000,1768258328308000,0,0.0
32063,1768258334973000,1768258334973000,0,0.0
32264,1768258338328000,1768258338328000,0,0.0
32464,1768258341659000,1768258341659000,0,0.0
32665,1768258344997000,1768258344997000,0,0.0
32865,1768258348334000,1768258348334000,0,0.0
33065,1768258351669000,1768258351669000,0,0.0
33266,1768258355021000,1768258355021000,0,0.0
33466,1768258358335000,1768258358335000,0,0.0
33867,1768258365031000,1768258365031000,0,0.0
35069,1768258385057000,1768258385057000,0,0.0
35270,1768258388412000,1768258388412000,0,0.0
35470,1768258391741000,1768258391741000,0,0.0
35670,1768258395065000,1768258395065000,0,0.0
35871,1768258398394000,1768258398394000,0,0.0
36071,1768258401757000,1768258401757000,0,0.0
36272,1768258405097000,1768258405097000,0,0.0
36472,1768258408444000,1768258408444000,0,0.0
36672,1768258411762000,1768258411762000,0,0.0
36873,1768258415113000,1768258415113000,0,0.0
38276,1768258438491000,1768258438491000,0,0.0
38676,1768258445146000,1768258445146000,0,0.0
38877,1768258448496000,1768258448496000,0,0.0
39077,1768258451834000,1768258451834000,0,0.0
39278,1768258455196000,1768258455196000,0,0.0
39478,1768258458525000,1768258458525000,0,0.0
39678,1768258461827000,1768258461827000,0,0.0
39879,1768258465194000,1768258465194000,0,0.0
40079,1768258468534000,1768258468534000,0,0.0
40280,1768258471878000,1768258471878000,0,0.0
40480,1768258475226000,1768258475226000,0,0.0
41883,1768258498592000,1768258498592000,0,0.0
42083,1768258501911000,1768258501911000,0,0.0
42284,1768258505266000,1768258505266000,0,0.0
42484,1768258508604000,1768258508604000,0,0.0
42684,1768258511928000,1768258511928000,0,0.0
42885,1768258515282000,1768258515282000,0,0.0
43085,1768258518598000,1768258518598000,0,0.0
43286,1768258521971000,1768258521971000,0,0.0
43486,1768258525295000,1768258525295000,0,0.0
43686,1768258528612000,1768258528612000,0,0.0
44288,1768258538660000,1768258538660000,0,0.0
45089,1768258551978000,1768258551978000,0,0.0
45290,1768258555348000,1768258555348000,0,0.0
45490,1768258558696000,1768258558696000,0,0.0
45690,1768258562011000,1768258562011000,0,0.0
45891,1768258565369000,1768258565369000,0,0.0
46091,1768258568694000,1768258568694000,0,0.0
46292,1768258572039000,1768258572039000,0,0.0
46492,1768258575377000,1768258575377000,0,0.0
46692,1768258578729000,1768258578729000,0,0.0
48296,1768258605440000,1768258605440000,0,0.0
48496,1768258608763000,1768258608763000,0,0.0
48696,1768258612110000,1768258612110000,0,0.0
48897,1768258615448000,1768258615448000,0,0.0
49097,1768258618776000,1768258618776000,0,0.0
49298,1768258622138000,1768258622138000,0,0.0
49498,1768258625470000,1768258625470000,0,0.0
49698,1768258628778000,1768258628778000,0,0.0
49899,1768258632147000,1768258632147000,0,0.0
50500,1768258642159000,1768258642159000,0,0.0
51702,1768258662188000,1768258662188000,0,0.0
51903,1768258665542000,1768258665542000,0,0.0
52103,1768258668862000,1768258668862000,0,0.0
52304,1768258672209000,1768258672209000,0,0.0
52504,1768258675548000,1768258675548000,0,0.0
52704,1768258678887000,1768258678887000,0,0.0
52905,1768258682231000,1768258682231000,0,0.0
53105,1768258685737000,1768258685717000,-20000,-20.0
54909,1768258715792000,1768258715773000,-19000,-19.0
55109,1768258719114000,1768258719095000,-19000,-19.0
